Longitude,Latitude,ElevationBottom
27.8173287035167,43.189799387181,-16
27.81727708697,43.1897855915969,-16.1
27.8172254358741,43.189771584529,-16
27.8171715448219,43.1897573276096,-16
27.8171153965829,43.1897430947274,-16.1
27.8170650747598,43.1897290570579,-15.9
27.8170120943911,43.1897139480325,-16
27.8169591031932,43.1897001497008,-16
27.8169042893711,43.1896869999442,-15.9
27.8168526209863,43.1896733725042,-15.9
27.8167987644244,43.1896595407164,-15.8
27.8167471018121,43.1896449295004,-15.9
27.8166954960839,43.1896298360052,-15.9
27.8166415482638,43.1896135442068,-16
27.8165899143115,43.1895989260722,-15.8
27.8165386971947,43.1895838091148,-15.9
27.8164888463326,43.1895693507917,-15.8
27.8164327038371,43.1895556714968,-15.8
27.816383286954,43.1895410726181,-15.9
27.8163316186277,43.1895264418928,-16.1
27.8162764252183,43.1895128118969,-15.9
27.8162260994535,43.189497702261,-15.9
27.8161699569579,43.1894825819005,-15.9
27.816118305862,43.1894687641048,-15.8
27.8160689004659,43.18945563306,-15.8
27.8160172776534,43.1894405414214,-16
27.8159640960313,43.1894254003962,-15.8
27.8159161698452,43.1894122545933,-15.8
27.8158600276987,43.1893971141589,-15.8
27.8158106620424,43.1893802284545,-15.8
27.8157589938906,43.1893662442609,-15.7
27.8157073312782,43.1893506388509,-15.8
27.8156534575153,43.1893353623426,-16
27.8155973035034,43.1893202338934,-15.9
27.8155478412542,43.1893044322102,-15.8
27.8154939322131,43.1892893337981,-15.9
27.8154410209429,43.1892718300258,-15.9
27.8153906991198,43.1892571271626,-15.8
27.815339036739,43.1892420188551,-15.7
27.8152873738952,43.1892275530678,-15.7
27.8152334656714,43.1892137499487,-15.7
27.8151840947362,43.1892006187983,-15.8
27.8151280098227,43.1891868157525,-15.8
27.8150780682528,43.1891732328283,-15.9
27.8150268957487,43.1891580907223,-15.9
27.8149774903526,43.1891434296846,-15.9
27.8149258507731,43.1891288027854,-15.8
27.814874165128,43.1891140875432,-15.7
27.8148203139349,43.1890989528001,-15.7
27.8147686287528,43.189084261848,-15.7
27.8147169891733,43.1890690037189,-15.7
27.8146630923776,43.1890540219623,-15.7
27.8146114355087,43.1890369447594,-15.7
27.8145620301421,43.1890237928132,-15.7
27.8145103847897,43.1890099876103,-15.6
27.8144587164634,43.1889951704167,-15.6
27.8144048484145,43.1889817246027,-15.6
27.8143531627693,43.1889682788488,-15.6
27.8142993116903,43.1889534749421,-15.6
27.8142476263941,43.1889401921908,-15.6
27.8141937860288,43.1889265299639,-15.6
27.8141420900189,43.1889113920199,-15.5
27.8140881932232,43.1888984696414,-15.6
27.814036604984,43.1888857635145,-15.6
27.8139803996318,43.1888719542408,-15.5
27.8139309261842,43.1888587842844,-15.6
27.8138771204728,43.1888463311187,-15.5
27.8138254463441,43.1888318579153,-15.4
27.8137737952482,43.1888173956244,-15.4
27.8137221731665,43.1888003210903,-15.4
27.8136704700236,43.1887858551312,-15.4
27.8136210876603,43.1887720478434,-15.4
27.8135671908646,43.1887575577105,-15.3
27.8135154995643,43.1887412334576,-15.4
27.8134623784642,43.1887261799306,-15.4
27.8134108865054,43.1887128818549,-15.3
27.813360586481,43.1886979779387,-15.4
27.8133045052825,43.1886826580634,-15.4
27.8132527928895,43.1886680093299,-15.2
27.8131957639335,43.1886529273705,-15.3
27.8131449992981,43.188636647177,-15.3
27.8130933424879,43.1886226681247,-15.3
27.8130401870668,43.1886083368008,-15.2
27.8129869020306,43.1885931668247,-15.3
27.8129353617615,43.1885784840146,-15.2
27.8128808495782,43.1885613405793,-15.2
27.8128306013231,43.1885462623474,-15.2
27.812779000882,43.1885308266206,-15.2
27.8127288852031,43.1885149752719,-15.1
27.8126761018296,43.1884998121916,-15.2
27.8126254876195,43.188484143513,-15.2
27.8125750877603,43.1884694112631,-15.2
27.8125251861473,43.1884540623125,-15.2
27.8124735689062,43.1884387986502,-15.4
27.8124173925559,43.1884236899909,-15.2
27.8123657696016,43.1884085674273,-15.3
27.8123125799819,43.1883939357462,-15.3
27.8122602424943,43.1883803001704,-15.3
27.8122054079732,43.1883641163053,-15.3
27.8121551277379,43.1883500972499,-15.2
27.8121059358514,43.1883333447266,-15.1
27.8120545204723,43.1883201404633,-15.2
27.8120077817378,43.1883052039036,-15.3
27.8119628294654,43.1882918048919,-15.1
27.8119160769096,43.1882788082001,-15.1
27.8118709189708,43.1882656967323,-15.2
27.8118298892643,43.1882528765152,-15.2
27.8117841447779,43.1882407606774,-15.1
27.8117418532142,43.1882286017348,-15.2
27.8117006027971,43.188216395529,-15.2
27.8116592490489,43.1882057536268,-15.2
27.8116179234193,43.188196255497,-15.1
27.8115760036893,43.1881859902358,-15.2
27.8115353003801,43.1881750741083,-15.1
27.8114936054257,43.1881646193785,-15.2
27.8114562330322,43.1881535496642,-15.1
27.8114148977445,43.188141217846,-15.3
27.8113739004906,43.1881301146435,-15.1
27.811332251441,43.188119025014,-15.2
27.811294542645,43.1881072625567,-15
27.8112541003491,43.1880943598368,-15.2
27.8112125893759,43.1880828908411,-15.1
27.8111742160233,43.1880717741344,-15.1
27.8111343360238,43.1880594404687,-15.1
27.8110969210607,43.1880483484813,-15.1
27.8110556191952,43.188036988194,-14.9
27.811014265011,43.1880250080086,-15
27.8109771372995,43.1880148232992,-14.9
27.8109386029048,43.1880030998912,-15
27.8108992994764,43.1879909892639,-15
27.8108573731511,43.1879789995203,-15.1
27.8108204151299,43.1879690564833,-15
